supplier_id,name,phone,location,status,category
072a29e6-1764-4160-a3e4-f82c86bdc975,"Harris, Lewis and Hunt",787.253.7235,Martinville,Blacklisted,Democrat
426a5757-f62e-4cd5-8eb7-adb9532cb372,Simon-Owens,(431)424-0470,New Tabithaburgh,Active,draw
84ea668a-6717-4364-ad81-a57ebcc093f1,"Kennedy, Castillo and Long",+1-780-212-1490,Port Tinastad,Active,break
4ddcc520-064c-45d6-89bf-bd27446fd364,Patel-Larsen,+1-941-583-1625x23932,Wandaview,Blacklisted,under
5f7914b6-3a3f-4a4b-9718-04a9087b3c04,"Castro, Fields and Martinez",653.783.0305x62271,East Gary,Active,claim
336900b3-9462-484c-868e-e9cac5de0492,"Rodriguez, Jones and Boyd",474.583.4195,Port Jesseshire,InActive,medical
f5a3801c-fc6b-47c8-8cd9-cf1bff1e2c25,"Owens, Barton and Bond",7474882594,Thomasmouth,Active,benefit
98369e85-4eb2-45ab-99bc-ecc56d868d86,Browning-Strickland,548.661.7583,Perezside,Active,item
dfae81ea-ef5d-477c-9d9c-8c3116914d01,"Burton, Zhang and Pierce",723.940.0284x125,Antoniofurt,Blacklisted,write
8904f78d-3870-46a6-b8db-393eabe72d22,"Soto, Washington and Garcia",001-609-235-0162x684,Michaelshire,InActive,article
1c306c8b-9502-4168-a9bf-39f3c881a595,Rodriguez-Dixon,491.519.1316x86715,Barnesshire,Blacklisted,travel
516c6524-14da-474f-ba6a-4b334d6e939b,Daniels PLC,625.976.4474x0647,Patriciaburgh,InActive,talk
c770015d-360c-4d10-b36f-9a9d875e5912,"Avery, Perez and Blair",515.215.7283x6925,Juliefort,Blacklisted,address
cea454a3-193a-4a49-9b9a-c5f65b459bb5,Wood-Freeman,594-257-3327,West Cassandra,InActive,water
d73aebb4-c636-4c97-81ca-0c9e6783870f,Frank and Sons,001-697-404-1500x319,Jessicashire,Blacklisted,tree
